BveTs Station List 2.00,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間
station_0,櫨,,17:39:00,15,17:38:30,1,8,1.55,,departure_bell_0,0.06,1
station_1,茶泉,,,15,,0,9,1.5,,departure_bell_0,0.06,1
station_2,立神,,,15,,0,8,1.42,,departure_bell_0,0.06,0.9
station_3,山似,,,15,,0,7,1.33,,departure_bell_0,0.06,0.7
station_4,取橋,,,15,,0,8,1.26,,departure_bell_0,0.06,0.6
station_5,楽ヶ島,,,15,,0,8,1.17,,departure_bell_0,0.06,0.55
station_6,崎内,,,15,,0,7,1.07,,departure_bell_0,0.06,0.5
station_7,瀬羽,,,15,,0,9,0.98,,departure_bell_0,0.06,0.45
station_8,苗尾,,,15,,0,8,0.9,,departure_bell_0,0.06,0.4
station_9,田地,,,15,,0,8,0.81,,departure_bell_0,0.06,0.35
station_10,公島,,,15,,0,7,0.72,,departure_bell_0,0.06,0.3
station_11,鶴蔵,,,15,,0,8,0.64,,departure_bell_0,0.06,0.3
station_12,沢山,,t,15,,0,9,0.55,,departure_bell_0,0.06,0.3
