BveTs Station List 2.00,,,,,,,,,,,,,
#,駅名,到着時刻,出発時刻,停車時間,開始時刻,出発信号,降車時間,乗車率,到着音声,発車前音声,再開扉確率,駆け込み乗車遅延時間,
station_0,和久太,,8:00:30,15,8:00:00,1,10,1.1,,departure_bell_0,0.1,0.3,
station_1,市中,,,15,,0,11,1.1,,departure_bell_0,0.11,0.3,
station_2,津門,,,15,,0,10,1.15,,departure_bell_0,0.12,0.35,
station_3,熊崎,,,15,,0,12,1.22,,departure_bell_0,0.13,0.35,
station_4,北山,,,15,,0,11,1.28,,departure_bell_0,0.14,0.4,
station_5,鹿辺川,,,15,,0,13,1.35,,departure_bell_0,0.15,0.4,
station_6,陸井,,,15,,0,12,1.4,,departure_bell_0,0.16,0.45,
station_7,谷橋,,,15,,0,12,1.5,,departure_bell_0,0.16,0.45,
station_8,久坂,,,15,,0,11,1.55,,departure_bell_0,0.17,0.5,
station_9,新久坂,,,15,,0,13,1.57,,departure_bell_0,0.18,1,
station_10,大槻,,,15,,0,10,1.6,,departure_bell_0,0.19,2,
station_11,紅川,,,15,,0,12,1.58,,departure_bell_0,0.2,0.5,
station_12,藤宮,,t,15,,0,15,1.1,,departure_bell_0,0.1,0.3,
